,missing_count,missing_rate
POS_PAID_LAST_1M_MEAN,18444,0.05997834223816384
POS_INSTALMENT_FUTURE_TREND_MEAN,18444,0.05997834223816384
POS_DPD_TREND_MEAN,18427,0.05992305966290637
POS_DPD_DIFF1_MEAN,18427,0.05992305966290637
POS_DPD_TREND_MAX,18427,0.05992305966290637
POS_DPD_MEAN,18067,0.05875236983392464
POS_PAID_LAST_1M_SUM,18067,0.05875236983392464
POS_DPD_MAX,18067,0.05875236983392464
POS_PAID_LAST_2M_SUM,18067,0.05875236983392464
POS_PAID_LAST_6M_SUM,18067,0.05875236983392464
POS_PAID_LAST_3M_SUM,18067,0.05875236983392464
PREV_CREDIT_APPLICATION_RATIO_MEAN,17469,0.056807723951338325
PREV_CNT_PAYMENT_MEAN,16869,0.05485657423636878
INST_PAYMENT_RATIO_STD,16567,0.05387449554650078
PREV_AMT_CREDIT_MEAN,16454,0.05350702901684818
PREV_DAYS_DECISION_MAX,16454,0.05350702901684818
PREV_AMT_APPLICATION_MEAN,16454,0.05350702901684818
PREV_APPROVAL_RATE,16454,0.05350702901684818
PREV_DAYS_DECISION_MIN,16454,0.05350702901684818
PREV_REFUSAL_RATE,16454,0.05350702901684818
INST_PAYMENT_RATIO_MEAN,15879,0.05163717720666903
INST_DPD_MAX,15876,0.05162742145809418
INST_DPD_MEAN,15876,0.05162742145809418
INST_DAYS_ENTRY_PAYMENT_MAX,15876,0.05162742145809418
INST_PCT_LATE,15868,0.051601406128561254
NAME_TYPE_SUITE,1292,0.004201475719567756
OBS_30_CNT_SOCIAL_CIRCLE,1021,0.0033202064316398437
OBS_60_CNT_SOCIAL_CIRCLE,1021,0.0033202064316398437
DEF_60_CNT_SOCIAL_CIRCLE,1021,0.0033202064316398437
DEF_30_CNT_SOCIAL_CIRCLE,1021,0.0033202064316398437
EXT_SOURCE_2,660,0.0021462646864665006
AMT_GOODS_PRICE,278,0.0009040327012692228
GOODS_CREDIT_RATIO,278,0.0009040327012692228
EXT_SOURCE_MIN,172,0.0005593295849579365
EXT_SOURCE_MEAN,172,0.0005593295849579365
EXT_SOURCE_MAX,172,0.0005593295849579365
CREDIT_TERM,12,3.9022994299390916e-05
ANNUITY_INCOME_RATIO,12,3.9022994299390916e-05
AMT_ANNUITY,12,3.9022994299390916e-05
CHILDREN_RATIO,2,6.503832383231819e-06
CNT_ADULTS,2,6.503832383231819e-06
CNT_FAM_MEMBERS,2,6.503832383231819e-06
INCOME_PER_PERSON,2,6.503832383231819e-06
DAYS_LAST_PHONE_CHANGE,1,3.2519161916159095e-06
LAST_PHONE_CHANGE_YEARS,1,3.2519161916159095e-06
HOUSING_FLOORSMAX_WAS_MISSING,0,0.0
HOUSING_ENTRANCES_WAS_MISSING,0,0.0
HOUSING_LANDAREA_WAS_MISSING,0,0.0
HOUSING_FLOORSMIN_WAS_MISSING,0,0.0
HOUSING_LIVINGAREA_WAS_MISSING,0,0.0
HOUSING_LIVINGAPARTMENTS_WAS_MISSING,0,0.0
HOUSING_YEARS_BEGINEXPLUATATION,0,0.0
HOUSING_BASEMENTAREA,0,0.0
HOUSING_APARTMENTS,0,0.0
TOTAL_DOCUMENTS_SUBMITTED,0,0.0
REGISTRATION_YEARS,0,0.0
EXT_SOURCE_NAN_COUNT,0,0.0
FLAG_EMPLOY_ANOMALY,0,0.0
ORGANIZATION_TYPE_GROUPED,0,0.0
ID_PUBLISH_YEARS,0,0.0
CREDIT_INCOME_RATIO,0,0.0
ORGANIZATION_TYPE_FREQ,0,0.0
AGE,0,0.0
FLAG_OWN_CAR,0,0.0
FLAG_OWN_REALTY,0,0.0
SK_ID_CURR,0,0.0
TARGET,0,0.0
DAYS_ID_PUBLISH,0,0.0
DAYS_REGISTRATION,0,0.0
DAYS_BIRTH,0,0.0
REGION_POPULATION_RELATIVE,0,0.0
NAME_FAMILY_STATUS,0,0.0
NAME_HOUSING_TYPE,0,0.0
FLAG_PHONE,0,0.0
FLAG_EMAIL,0,0.0
FLAG_WORK_PHONE,0,0.0
FLAG_CONT_MOBILE,0,0.0
FLAG_EMP_PHONE,0,0.0
FLAG_MOBIL,0,0.0
REGION_RATING_CLIENT,0,0.0
REGION_RATING_CLIENT_W_CITY,0,0.0
REG_CITY_NOT_LIVE_CITY,0,0.0
LIVE_REGION_NOT_WORK_REGION,0,0.0
REG_REGION_NOT_WORK_REGION,0,0.0
REG_REGION_NOT_LIVE_REGION,0,0.0
HOUR_APPR_PROCESS_START,0,0.0
WEEKDAY_APPR_PROCESS_START,0,0.0
REG_CITY_NOT_WORK_CITY,0,0.0
LIVE_CITY_NOT_WORK_CITY,0,0.0
AMT_CREDIT,0,0.0
AMT_INCOME_TOTAL,0,0.0
NAME_CONTRACT_TYPE,0,0.0
CNT_CHILDREN,0,0.0
NAME_INCOME_TYPE,0,0.0
NAME_EDUCATION_TYPE,0,0.0
HOUSING_ELEVATORS_WAS_MISSING,0,0.0
HOUSING_COMMONAREA_WAS_MISSING,0,0.0
HOUSING_YEARS_BUILD_WAS_MISSING,0,0.0
HOUSING_YEARS_BEGINEXPLUATATION_WAS_MISSING,0,0.0
HOUSING_BASEMENTAREA_WAS_MISSING,0,0.0
HOUSING_APARTMENTS_WAS_MISSING,0,0.0
HOUSING_INFO_COMPLETENESS,0,0.0
HOUSING_QUALITY_SCORE,0,0.0
HOUSING_TOTALAREA,0,0.0
HOUSING_NONLIVINGAREA,0,0.0
HOUSING_NONLIVINGAPARTMENTS,0,0.0
HOUSING_LIVINGAREA,0,0.0
HOUSING_LIVINGAPARTMENTS,0,0.0
HOUSING_LANDAREA,0,0.0
HOUSING_FLOORSMIN,0,0.0
HOUSING_FLOORSMAX,0,0.0
HOUSING_ENTRANCES,0,0.0
HOUSING_ELEVATORS,0,0.0
HOUSING_COMMONAREA,0,0.0
HOUSING_YEARS_BUILD,0,0.0
BUREAU_DEBT_SUM,0,0.0
BUREAU_CREDIT_SUM_SUM,0,0.0
BUREAU_N_BAD_DEBT,0,0.0
BUREAU_OVERDUE_SUM,0,0.0
BUREAU_N_CLOSED,0,0.0
PREV_APP_COUNT,0,0.0
INST_N_PAYMENTS,0,0.0
POS_N_LOANS,0,0.0
POS_N_ACTIVE,0,0.0
PREV_APPROVED_COUNT,0,0.0
PREV_REFUSED_COUNT,0,0.0
POS_N_COMPLETED,0,0.0
BUREAU_N_CREDIT_TYPES,0,0.0
BUREAU_N_SOLD,0,0.0
HOUSING_QUALITY_SCORE_WAS_MISSING,0,0.0
HOUSING_TOTALAREA_WAS_MISSING,0,0.0
HOUSING_NONLIVINGAREA_WAS_MISSING,0,0.0
BUREAU_N_LOANS,0,0.0
HOUSING_NONLIVINGAPARTMENTS_WAS_MISSING,0,0.0
BUREAU_N_ACTIVE,0,0.0
INST_DPD_SUM,0,0.0
INST_N_PAYMENTS_30D,0,0.0
INST_N_PAYMENTS_365D,0,0.0
INST_AMT_PAYMENT_SUM_180D,0,0.0
INST_N_PAYMENTS_180D,0,0.0
INST_AMT_PAYMENT_SUM_90D,0,0.0
INST_AMT_PAYMENT_SUM_60D,0,0.0
INST_N_PAYMENTS_90D,0,0.0
INST_AMT_PAYMENT_SUM_30D,0,0.0
INST_N_PAYMENTS_60D,0,0.0
CC_DRAWINGS_ATM_SUM,0,0.0
CC_N_CARDS,0,0.0
INST_AMT_PAYMENT_SUM_365D,0,0.0
HAS_BUREAU_HISTORY,0,0.0
HAS_PREV_APPLICATION,0,0.0
HAS_POS_HISTORY,0,0.0
HAS_INSTALLMENT_HISTORY,0,0.0
HAS_CREDIT_CARD,0,0.0
