,inf_count,inf_rate
EXT_SOURCE_MAX,0,0.0
EXT_SOURCE_NAN_COUNT,0,0.0
CNT_ADULTS,0,0.0
CHILDREN_RATIO,0,0.0
TOTAL_DOCUMENTS_SUBMITTED,0,0.0
HOUSING_APARTMENTS,0,0.0
HOUSING_BASEMENTAREA,0,0.0
HOUSING_YEARS_BEGINEXPLUATATION,0,0.0
HOUSING_YEARS_BUILD,0,0.0
HOUSING_COMMONAREA,0,0.0
HOUSING_ELEVATORS,0,0.0
HOUSING_ENTRANCES,0,0.0
HOUSING_FLOORSMAX,0,0.0
HOUSING_FLOORSMIN,0,0.0
HOUSING_LANDAREA,0,0.0
HOUSING_LIVINGAPARTMENTS,0,0.0
HOUSING_LIVINGAREA,0,0.0
HOUSING_NONLIVINGAPARTMENTS,0,0.0
HOUSING_NONLIVINGAREA,0,0.0
HOUSING_TOTALAREA,0,0.0
HOUSING_QUALITY_SCORE,0,0.0
HOUSING_INFO_COMPLETENESS,0,0.0
HOUSING_APARTMENTS_WAS_MISSING,0,0.0
HOUSING_BASEMENTAREA_WAS_MISSING,0,0.0
HOUSING_YEARS_BEGINEXPLUATATION_WAS_MISSING,0,0.0
HOUSING_YEARS_BUILD_WAS_MISSING,0,0.0
HOUSING_COMMONAREA_WAS_MISSING,0,0.0
HOUSING_ELEVATORS_WAS_MISSING,0,0.0
HOUSING_ENTRANCES_WAS_MISSING,0,0.0
HOUSING_FLOORSMAX_WAS_MISSING,0,0.0
HOUSING_FLOORSMIN_WAS_MISSING,0,0.0
HOUSING_LANDAREA_WAS_MISSING,0,0.0
HOUSING_LIVINGAPARTMENTS_WAS_MISSING,0,0.0
HOUSING_LIVINGAREA_WAS_MISSING,0,0.0
HOUSING_NONLIVINGAPARTMENTS_WAS_MISSING,0,0.0
HOUSING_NONLIVINGAREA_WAS_MISSING,0,0.0
HOUSING_TOTALAREA_WAS_MISSING,0,0.0
HOUSING_QUALITY_SCORE_WAS_MISSING,0,0.0
BUREAU_N_LOANS,0,0.0
BUREAU_N_ACTIVE,0,0.0
BUREAU_N_CLOSED,0,0.0
BUREAU_N_SOLD,0,0.0
BUREAU_N_BAD_DEBT,0,0.0
BUREAU_N_CREDIT_TYPES,0,0.0
BUREAU_CREDIT_SUM_SUM,0,0.0
BUREAU_CREDIT_SUM_MEAN,0,0.0
BUREAU_DEBT_SUM,0,0.0
BUREAU_OVERDUE_SUM,0,0.0
BUREAU_DAYS_CREDIT_MIN,0,0.0
BUREAU_DAYS_CREDIT_MAX,0,0.0
BUREAU_DAYS_CREDIT_UPDATE_MAX,0,0.0
BUREAU_DEBT_CREDIT_RATIO,0,0.0
BUREAU_ACTIVE_RATIO,0,0.0
BUREAU_HAS_BAD_DEBT,0,0.0
PREV_APP_COUNT,0,0.0
PREV_APPROVED_COUNT,0,0.0
PREV_REFUSED_COUNT,0,0.0
PREV_AMT_CREDIT_MEAN,0,0.0
PREV_AMT_APPLICATION_MEAN,0,0.0
PREV_CREDIT_APPLICATION_RATIO_MEAN,0,0.0
PREV_CNT_PAYMENT_MEAN,0,0.0
PREV_DAYS_DECISION_MAX,0,0.0
PREV_DAYS_DECISION_MIN,0,0.0
PREV_APPROVAL_RATE,0,0.0
PREV_REFUSAL_RATE,0,0.0
POS_N_LOANS,0,0.0
POS_N_ACTIVE,0,0.0
POS_N_COMPLETED,0,0.0
POS_DPD_MEAN,0,0.0
POS_DPD_MAX,0,0.0
POS_DPD_TREND_MEAN,0,0.0
POS_DPD_TREND_MAX,0,0.0
POS_INSTALMENT_FUTURE_TREND_MEAN,0,0.0
POS_PAID_LAST_1M_MEAN,0,0.0
POS_PAID_LAST_1M_SUM,0,0.0
POS_DPD_DIFF1_MEAN,0,0.0
POS_PAID_LAST_2M_MEAN,0,0.0
POS_PAID_LAST_2M_SUM,0,0.0
POS_DPD_DIFF2_MEAN,0,0.0
POS_PAID_LAST_3M_MEAN,0,0.0
POS_PAID_LAST_3M_SUM,0,0.0
POS_DPD_DIFF3_MEAN,0,0.0
POS_PAID_LAST_6M_MEAN,0,0.0
POS_PAID_LAST_6M_SUM,0,0.0
POS_DPD_DIFF6_MEAN,0,0.0
INST_N_PAYMENTS,0,0.0
INST_DPD_MEAN,0,0.0
INST_DPD_MAX,0,0.0
INST_DPD_SUM,0,0.0
INST_PCT_LATE,0,0.0
INST_PAYMENT_RATIO_MEAN,0,0.0
INST_PAYMENT_RATIO_STD,0,0.0
INST_DAYS_ENTRY_PAYMENT_MAX,0,0.0
INST_PCT_LATE_EARLY,0,0.0
INST_N_PAYMENTS_30D,0,0.0
INST_AMT_PAYMENT_SUM_30D,0,0.0
INST_N_PAYMENTS_60D,0,0.0
INST_AMT_PAYMENT_SUM_60D,0,0.0
INST_N_PAYMENTS_90D,0,0.0
INST_AMT_PAYMENT_SUM_90D,0,0.0
INST_N_PAYMENTS_180D,0,0.0
INST_AMT_PAYMENT_SUM_180D,0,0.0
INST_N_PAYMENTS_365D,0,0.0
INST_AMT_PAYMENT_SUM_365D,0,0.0
CC_N_CARDS,0,0.0
CC_DRAWINGS_ATM_SUM,0,0.0
HAS_BUREAU_HISTORY,0,0.0
HAS_PREV_APPLICATION,0,0.0
HAS_POS_HISTORY,0,0.0
HAS_INSTALLMENT_HISTORY,0,0.0
HAS_CREDIT_CARD,0,0.0
