feature_1,feature_2,corr,iv_1,iv_2,kept,dropped
HOUSING_INFO_COMPLETENESS,HOUSING_ELEVATORS_WAS_MISSING,0.943221871535244,0.023569658964856466,0.022193668480760265,HOUSING_INFO_COMPLETENESS,HOUSING_ELEVATORS_WAS_MISSING
EMPLOY_YEARS,EMPLOY_TO_AGE_RATIO,0.9428022797865259,0.11405379021938744,0.0927412299366148,EMPLOY_YEARS,EMPLOY_TO_AGE_RATIO
INST_DPD_MAX,INST_DPD_SUM,0.9390652963249442,0.038169500825389266,0.03522294511014147,INST_DPD_MAX,INST_DPD_SUM
HOUSING_YEARS_BUILD_WAS_MISSING,HOUSING_LIVINGAPARTMENTS_WAS_MISSING,0.9364031738242823,0.013841091083897226,0.012287600901697733,HOUSING_YEARS_BUILD_WAS_MISSING,HOUSING_LIVINGAPARTMENTS_WAS_MISSING
HOUSING_INFO_COMPLETENESS,HOUSING_NONLIVINGAREA_WAS_MISSING,0.9260535013574852,0.023569658964856466,0.021053953227790887,HOUSING_INFO_COMPLETENESS,HOUSING_NONLIVINGAREA_WAS_MISSING
AMT_REQ_CREDIT_BUREAU_HOUR,BUREAU_N_CREDIT_TYPES,0.9255915965590608,0.01321756486798321,0.012674434247681375,AMT_REQ_CREDIT_BUREAU_HOUR,BUREAU_N_CREDIT_TYPES
POS_PAID_LAST_2M_SUM,POS_PAID_LAST_3M_SUM,0.9216965590765608,0.032367092469191415,0.03234482277847197,POS_PAID_LAST_2M_SUM,POS_PAID_LAST_3M_SUM
INST_DPD_MEAN,INST_DPD_MAX,0.9182002071331595,0.05168445820065256,0.038169500825389266,INST_DPD_MEAN,INST_DPD_MAX
HOUSING_FLOORSMAX,HOUSING_ELEVATORS,0.9179075685860892,0.02837284753256877,0.02685813855708551,HOUSING_FLOORSMAX,HOUSING_ELEVATORS
INST_N_PAYMENTS_90D,INST_N_PAYMENTS_60D,0.912255795982909,0.02808200763116429,0.023993387475291575,INST_N_PAYMENTS_90D,INST_N_PAYMENTS_60D
POS_PAID_LAST_2M_MEAN,POS_PAID_LAST_3M_MEAN,0.9111613015067571,0.029853294493340825,0.027382522508463257,POS_PAID_LAST_2M_MEAN,POS_PAID_LAST_3M_MEAN
POS_DPD_MEAN,POS_DPD_MAX,0.9081886631223935,0.019478261627375787,0.015633427684262544,POS_DPD_MEAN,POS_DPD_MAX
HOUSING_YEARS_BUILD_WAS_MISSING,HOUSING_COMMONAREA_WAS_MISSING,0.906573239170893,0.013841091083897226,0.011036055357160474,HOUSING_YEARS_BUILD_WAS_MISSING,HOUSING_COMMONAREA_WAS_MISSING
NAME_CONTRACT_TYPE,TOTAL_DOCUMENTS_SUBMITTED,0.8917806616355884,0.015038765990569906,0.014623555797673538,NAME_CONTRACT_TYPE,TOTAL_DOCUMENTS_SUBMITTED
POS_DPD_TREND_MEAN,POS_DPD_TREND_MAX,0.8897512229289583,0.014073966124561728,0.013850106353524084,POS_DPD_TREND_MEAN,POS_DPD_TREND_MAX
INST_PCT_LATE,INST_DPD_MEAN,0.8884617661753266,0.06362736099401496,0.05168445820065256,INST_PCT_LATE,INST_DPD_MEAN
INST_N_PAYMENTS_90D,INST_N_PAYMENTS_180D,0.8868172682104114,0.02808200763116429,0.026105231762012647,INST_N_PAYMENTS_90D,INST_N_PAYMENTS_180D
POS_N_LOANS,POS_N_COMPLETED,0.8765237895441674,0.023262464437646024,0.01626635916094663,POS_N_LOANS,POS_N_COMPLETED
PREV_AMT_APPLICATION_MEAN,PREV_AMT_CREDIT_MEAN,0.8717588567231426,0.01874297581671182,0.01513786903322158,PREV_AMT_APPLICATION_MEAN,PREV_AMT_CREDIT_MEAN
HOUSING_INFO_COMPLETENESS,HOUSING_BASEMENTAREA_WAS_MISSING,0.870718119055692,0.023569658964856466,0.018523160815827163,HOUSING_INFO_COMPLETENESS,HOUSING_BASEMENTAREA_WAS_MISSING
EXT_SOURCE_MEAN,EXT_SOURCE_MIN,0.8645130247345512,0.6234096842332096,0.4743339869904134,EXT_SOURCE_MEAN,EXT_SOURCE_MIN
HOUSING_INFO_COMPLETENESS,HOUSING_LANDAREA_WAS_MISSING,0.8538215010576238,0.023569658964856466,0.015162643262635703,HOUSING_INFO_COMPLETENESS,HOUSING_LANDAREA_WAS_MISSING
INST_PAYMENT_RATIO_MEAN,INST_PAYMENT_RATIO_STD,0.8516162309135334,0.05419532916953983,0.03838203258684327,INST_PAYMENT_RATIO_MEAN,INST_PAYMENT_RATIO_STD
HOUSING_INFO_COMPLETENESS,HOUSING_NONLIVINGAREA,0.8431505320051318,0.023569658964856466,0.021255126448430067,HOUSING_INFO_COMPLETENESS,HOUSING_NONLIVINGAREA
DEF_30_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,0.8415775076341417,0.014018013672645864,0.012943727461396453,DEF_30_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE
INST_PCT_LATE,INST_PCT_LATE_EARLY,0.836909162644198,0.06362736099401496,0.03250053611587776,INST_PCT_LATE,INST_PCT_LATE_EARLY
BUREAU_N_LOANS,AMT_REQ_CREDIT_BUREAU_HOUR,0.83091329950156,0.015569051217567532,0.01321756486798321,BUREAU_N_LOANS,AMT_REQ_CREDIT_BUREAU_HOUR
REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,0.8255747229688766,0.03220724394929676,0.013228377372496514,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY
PREV_REFUSAL_RATE,PREV_REFUSED_COUNT,0.824329311239004,0.06986859779042852,0.053780735576114444,PREV_REFUSAL_RATE,PREV_REFUSED_COUNT
HOUSING_TOTALAREA,HOUSING_APARTMENTS,0.8207874781114406,0.031676005913424454,0.02691746466470507,HOUSING_TOTALAREA,HOUSING_APARTMENTS
EXT_SOURCE_MEAN,EXT_SOURCE_MAX,0.813278666938507,0.6234096842332096,0.4518130430357021,EXT_SOURCE_MEAN,EXT_SOURCE_MAX
HOUSING_TOTALAREA,HOUSING_LIVINGAREA,0.8068990328579393,0.031676005913424454,0.02585335596923658,HOUSING_TOTALAREA,HOUSING_LIVINGAREA
HOUSING_TOTALAREA,HOUSING_QUALITY_SCORE,0.8016406698565375,0.031676005913424454,0.03137686486690726,HOUSING_TOTALAREA,HOUSING_QUALITY_SCORE
